Date,Occupancy,N_Admitted,FreshWater,HighChlorine,LowChlorine,TotalWater,MedStaffHRZ,WASHStaffHRZ,TotalStaffHRZ,BagsIncineratedHRZ,BagsIncineratedLRZ,LatrinesDisinfected,CubicalBedsDisinfected,HandwashBuckets,WardsDisinfected,ScrubsLaundered,ApronsLaundered,BootsLaundered,HeavyGlovesLaundered,GogglesDisinfected,SprayerRepaired,S_CoverallsUsed,M_CoverallsUsed,L_CoverallsUsed,XL_CoverallsUsed,XXL_CoverallsUsed,CoverallsUsed,N95Used,HoodsUsed,PPEDamaged,Location,Month,Year,Week
2015-12-29T00:00:00Z,15,NA,NA,5000,3200,8200,36,47,83,29,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,Makeni,Dec,2015,52
2015-12-30T00:00:00Z,12,NA,NA,4200,2900,7100,36,42,78,53,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Makeni,Dec,2015,52
2015-12-31T00:00:00Z,9,NA,NA,4500,3650,8150,29,58,87,61,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Makeni,Dec,2015,53
2016-01-01T00:00:00Z,9,NA,NA,NA,NA,NA,33,40,73,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Makeni,Jan,2016,1
2015-01-02T00:00:00Z,12,NA,NA,5200,3300,8500,36,31,67,63,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Makeni,Jan,2015,1
2015-01-03T00:00:00Z,10,NA,NA,5000,3500,8500,30,43,73,62,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Makeni,Jan,2015,1
2015-01-04T00:00:00Z,10,NA,NA,3600,3150,6750,40,5,45,47,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Makeni,Jan,2015,1
2015-01-05T00:00:00Z,11,NA,NA,4200,2800,7000,27,34,61,31,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Makeni,Jan,2015,1
2015-01-06T00:00:00Z,14,NA,NA,7070,3900,10970,28,30,58,42,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Makeni,Jan,2015,1
2015-01-07T00:00:00Z,14,NA,NA,4380,2900,7280,28,38,66,38,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Makeni,Jan,2015,1
2015-01-08T00:00:00Z,10,NA,NA,3600,3300,6900,28,35,63,33,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Makeni,Jan,2015,2
2015-01-09T00:00:00Z,8,NA,NA,5000,2700,7700,24,35,59,49,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Makeni,Jan,2015,2
2015-01-10T00:00:00Z,6,NA,NA,5300,2350,7650,19,37,56,47,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Makeni,Jan,2015,2
2015-01-11T00:00:00Z,9,NA,NA,3900,2350,6250,24,35,59,25,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Makeni,Jan,2015,2
2015-01-12T00:00:00Z,9,NA,NA,4200,1800,6000,14,27,41,44,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Makeni,Jan,2015,2
2015-01-13T00:00:00Z,10,NA,NA,5000,3500,8500,17,36,53,68,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,Makeni,Jan,2015,2
2015-01-14T00:00:00Z,10,NA,NA,5500,2700,8200,18,41,59,39,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Makeni,Jan,2015,2
2015-01-15T00:00:00Z,10,NA,NA,4400,3100,7500,32,35,67,12,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Makeni,Jan,2015,3
2015-01-16T00:00:00Z,9,NA,NA,5950,2030,7980,25,30,55,12,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Makeni,Jan,2015,3
2015-01-17T00:00:00Z,8,NA,NA,5250,2850,8100,20,33,53,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Makeni,Jan,2015,3
2015-01-18T00:00:00Z,6,NA,NA,5950,2850,8800,14,22,36,35,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Makeni,Jan,2015,3
