Tag ID,Tag Type,Field Site,Duration,Depth,Descent_Rate,Ascent_Rate,Descent_Pitch,Ascent_Pitch,Var_Pitch,Bottom_Duration,Surface_Duration,Var_Heading,Var_Roll,ODBA,Wiggliness
ha13_176a,dtag,Jan Mayen,911.8,169.324889,0.484690563,0.367121267,-0.234246266,0.388789939,0.05794166,3.746666667,2.136666667,0.107157102,0.029805476,0.906888117,0.199886335
ha13_176a,dtag,Jan Mayen,1220.8,167.722792,0.333533654,0.368498968,-0.139631604,0.37692893,0.031959479,6.86,2.446666667,0.019637789,0.008250947,1.076838821,0.165211552
ha13_176a,dtag,Jan Mayen,1010.8,109.506821,0.178673109,0.319968163,-0.072194212,0.286185197,0.021230901,3.51,2.493333333,0.012864407,0.013189288,1.115680353,0.219416017
ha13_176a,dtag,Jan Mayen,1184.8,251.364115,0.611460716,0.378925403,-0.383520841,0.369122817,0.072456463,4.556666667,2.373333333,0.05816586,0.020515836,1.143813386,0.261375388
ha13_176a,dtag,Jan Mayen,773.8,73.882282,0.182666162,0.209188722,-0.038587031,0.192577042,0.01549612,2.21,2.546666667,0.026344409,0.016712217,1.028778693,0.155334551
ha13_176a,dtag,Jan Mayen,1122.8,258.017555,0.383286069,0.695500173,-0.169425589,0.573019188,0.068813661,4.04,NA,0.037639051,0.047228051,1.501205336,0.264702504
ha14_165a,dtag,Jan Mayen,405,206.714558,2.302505709,0.872915931,-0.928091517,0.568586781,0.165007205,2.136666667,0.01,0.35380594,0.129100401,1.521532602,0.079625163
ha14_165a,dtag,Jan Mayen,216.6,140.42448,2.064826927,1.206257424,-0.926223115,0.696788455,0.243697598,1.01,2.266666667,0.217024473,0.091316843,1.083165527,0.068507596
ha14_165a,dtag,Jan Mayen,1534,588.755828,1.698346318,0.592562554,-0.980448182,0.493550986,0.195092258,6.593333333,4.476666667,0.424387169,0.36291719,1.29390996,0.06797128
ha14_165a,dtag,Jan Mayen,1325.8,881.382335,1.565139348,1.423673565,-1.00916468,0.877109764,0.363094211,5.353333333,1.81,0.708409096,0.58583037,0.96886696,0.101697563
ha14_165a,dtag,Jan Mayen,238.8,145.143998,1.033676824,1.710254569,-0.821961624,0.868355345,0.520034405,0.8,2.083333333,0.810142797,0.484713775,1.135272882,0.053416063
ha14_165a,dtag,Jan Mayen,180.6,70.601823,0.979799013,0.889671217,-0.989977776,0.472531323,0.34799558,0.876666667,2.316666667,0.777663384,0.105415626,1.270920138,0.077515136
ha14_165a,dtag,Jan Mayen,159.2,89.681068,1.219510962,1.375194638,-1.04643035,0.91546154,0.449474576,0.696666667,2.74,0.425009261,0.12424813,1.040124643,0.14977056
ha14_165a,dtag,Jan Mayen,86,57.774582,1.670441395,1.244664112,-1.031928492,0.633954721,0.321719315,0.29,0.393333333,0.045992863,0.009808035,1.129752117,0.082406277
ha14_165a,dtag,Jan Mayen,2328.4,603.76119,1.658516496,0.334409769,-1.305737641,0.203394785,0.159490495,8.08,3.36,0.356566012,0.286843385,1.31084051,0.031873502
ha14_165a,dtag,Jan Mayen,583.2,103.742673,0.396930623,0.510462994,-0.259619834,0.397208607,0.049584434,3.196666667,2.69,0.019978727,0.010629278,0.920297254,0.170611344
ha14_165a,dtag,Jan Mayen,690,69.663654,0.474872608,0.154882387,-0.461483524,-0.064891472,0.020299897,3.136666667,2.183333333,0.017581732,0.008579349,0.666024819,0.214576082
ha14_165a,dtag,Jan Mayen,663.6,79.147018,0.571948019,0.169722787,-0.687888558,-0.057934168,0.066778775,2.506666667,4.21,0.023874761,0.007359262,0.60711813,0.313552585
ha14_165a,dtag,Jan Mayen,1636.4,580.481828,1.53666915,1.403849047,-1.081781603,0.903621949,0.250711168,16.06333333,4.806666667,0.223894903,0.690647365,0.634560207,0.270021118
ha14_165a,dtag,Jan Mayen,1222.4,626.586152,1.167918941,1.273087091,-0.703366317,0.785883404,0.278107356,5.803333333,3.973333333,0.302918543,0.571136531,1.191732056,0.094801209
ha14_165a,dtag,Jan Mayen,1314.8,611.234494,1.165248221,0.840156058,-0.693265048,0.512675851,0.20518078,4.18,3.063333333,0.367947787,0.4185411,1.264838646,0.062732761
ha14_165a,dtag,Jan Mayen,771.6,172.164539,0.646395062,0.422382647,-0.664684636,0.318866355,0.108322154,3.31,2.476666667,0.042439935,0.019947581,1.123550994,0.091391974
ha14_165a,dtag,Jan Mayen,688.4,112.3936,0.47480138,0.338562245,-0.443873634,0.288212305,0.065288967,3.48,2.18,0.025312453,0.025054959,0.606170751,0.146765213
ha14_165a,dtag,Jan Mayen,672.8,76.953848,0.466798507,0.188266722,-0.426478327,0.116269774,0.033115925,3.193333333,2.15,0.031540824,0.011701332,0.561133617,0.214379896
